Hz	s	Accuracy	Avg_Precision	Avg_F_Measure	Avg_Recall	Precision	F_Measure	Recall
5	2	0.7955882352941176	0.8016427710030811	0.7885323174206115	0.7955882352941176	"[0.7025641  0.78171091 0.84302326 0.78525641 0.79836512 0.95575221
 0.71428571 0.7        0.5        0.66666667 0.84210526 0.52173913]"	"[0.80351906 0.81538462 0.66210046 0.78525641 0.80494505 0.96860987
 0.6122449  0.48275862 0.55555556 0.53333333 0.5        0.5       ]"	"[0.93835616 0.85209003 0.54511278 0.78525641 0.81163435 0.98181818
 0.53571429 0.36842105 0.625      0.44444444 0.35555556 0.48      ]"
5	3	0.8122238586156112	0.817879794625316	0.8063077280513876	0.8122238586156112	"[0.80092593 0.75545852 0.86075949 0.76811594 0.79399142 0.96624473
 0.69230769 0.83333333 0.52       0.5        0.6        1.        ]"	"[0.83173077 0.81603774 0.77936963 0.78325123 0.79569892 0.97446809
 0.69230769 0.47619048 0.53061224 0.64285714 0.38709677 0.38709677]"	"[0.865      0.88717949 0.71204188 0.79899497 0.79741379 0.98283262
 0.69230769 0.33333333 0.54166667 0.9        0.28571429 0.24      ]"
5	5	0.8376068376068376	0.8369304587450764	0.8331715339911475	0.8376068376068376	"[0.88659794 0.86507937 0.88461538 0.78225806 0.77840909 0.95588235
 0.71428571 1.         0.5        0.71428571 0.52941176 0.75      ]"	"[0.89119171 0.88979592 0.87203791 0.76078431 0.82282282 0.96654275
 0.52631579 0.5        0.51851852 0.5        0.5        0.66666667]"	"[0.89583333 0.91596639 0.85981308 0.74045802 0.87261146 0.97744361
 0.41666667 0.33333333 0.53846154 0.38461538 0.47368421 0.6       ]"
5	10	0.7703703703703704	0.7633671401963213	0.7574249540399103	0.7703703703703704	"[0.77192982 0.71428571 0.71698113 0.78787879 0.74390244 0.89705882
 0.         0.         0.57142857 1.         0.75       1.        ]"	"[0.8        0.73770492 0.69724771 0.77037037 0.80794702 0.93129771
 0.         0.         0.57142857 0.57142857 0.46153846 0.4       ]"	"[0.83018868 0.76271186 0.67857143 0.75362319 0.88405797 0.96825397
 0.         0.         0.57142857 0.4        0.33333333 0.25      ]"
5	1	0.7086498407253125	0.7158895903350749	0.7035055438612724	0.7086498407253125	"[0.55396619 0.66341463 0.72861357 0.70418006 0.70375335 0.92876344
 0.71875    0.83870968 0.53846154 0.55357143 0.65625    0.7       ]"	"[0.64545455 0.68056714 0.57175926 0.68118196 0.72115385 0.95376121
 0.5974026  0.67532468 0.53846154 0.53913043 0.40384615 0.49411765]"	"[0.77313975 0.69863014 0.47047619 0.65963855 0.73943662 0.98014184
 0.51111111 0.56521739 0.53846154 0.52542373 0.29166667 0.38181818]"
10	1	0.8047047292330312	0.8106659016258255	0.80060275154026	0.8047047292330312	"[0.71756757 0.87288136 0.93478261 0.74085366 0.74692202 0.95730028
 0.64583333 0.81818182 0.50746269 0.5625     0.65853659 0.63636364]"	"[0.82261813 0.87734242 0.77043673 0.73636364 0.75780708 0.97134871
 0.66666667 0.6835443  0.51515152 0.5046729  0.47787611 0.47727273]"	"[0.96370236 0.88184932 0.6552381  0.73192771 0.76901408 0.9858156
 0.68888889 0.58695652 0.52307692 0.45762712 0.375      0.38181818]"
10	2	0.8691176470588236	0.8714573599596818	0.8654915934140621	0.8691176470588236	"[0.87423313 0.91639871 0.94672131 0.85365854 0.7970297  0.95857988
 0.77777778 0.76923077 0.4        0.65217391 0.77777778 0.66666667]"	"[0.9223301  0.91639871 0.90588235 0.81803005 0.84183007 0.97005988
 0.60869565 0.625      0.5        0.6        0.44444444 0.55813953]"	"[0.9760274  0.91639871 0.86842105 0.78525641 0.89196676 0.98181818
 0.5        0.52631579 0.66666667 0.55555556 0.31111111 0.48      ]"
10	3	0.8667157584683358	0.8661091837192267	0.8592912516720096	0.8667157584683358	"[0.87614679 0.93229167 0.93085106 0.81675393 0.79377432 0.95798319
 0.69230769 0.66666667 0.46153846 0.52631579 0.52941176 1.        ]"	"[0.9138756  0.9250646  0.92348285 0.8        0.83435583 0.96815287
 0.69230769 0.38095238 0.32432432 0.68965517 0.47368421 0.38709677]"	"[0.955      0.91794872 0.91623037 0.7839196  0.87931034 0.97854077
 0.69230769 0.26666667 0.25       1.         0.42857143 0.24      ]"
10	5	0.8522588522588522	0.8497286709014594	0.8441318725324959	0.8522588522588522	"[0.88461538 0.92241379 0.94495413 0.81578947 0.74468085 0.94202899
 0.57142857 0.66666667 0.58823529 0.8        0.6        0.875     ]"	"[0.92       0.9106383  0.9537037  0.75918367 0.8115942  0.95940959
 0.42105263 0.33333333 0.66666667 0.44444444 0.4137931  0.77777778]"	"[0.95833333 0.89915966 0.96261682 0.70992366 0.89171975 0.97744361
 0.33333333 0.22222222 0.76923077 0.30769231 0.31578947 0.7       ]"
10	10	0.7901234567901234	0.7888351108856239	0.775894958386858	0.7901234567901234	"[0.9245283  0.6969697  0.75925926 0.8125     0.73809524 0.87323944
 0.         1.         0.33333333 1.         0.5        1.        ]"	"[0.9245283  0.736      0.74545455 0.78195489 0.81045752 0.92537313
 0.         0.33333333 0.2        0.57142857 0.30769231 0.4       ]"	"[0.9245283  0.77966102 0.73214286 0.75362319 0.89855072 0.98412698
 0.         0.2        0.14285714 0.4        0.22222222 0.25      ]"
