Hz	s	Accuracy	Avg_Precision	Avg_F_Measure	Avg_Recall	Precision	F_Measure	Recall
5	2	0.859313725490196	0.8610094278677128	0.8575198522375002	0.859313725490196	"[0.8119403  0.88424437 0.9047619  0.87671233 0.82397959 0.97313433
 0.72       0.84615385 0.41935484 0.73684211 0.66666667 0.61538462]"	"[0.8676236  0.88424437 0.84104628 0.84768212 0.85790173 0.98045113
 0.67924528 0.6875     0.47272727 0.60869565 0.53333333 0.62745098]"	"[0.93150685 0.88424437 0.78571429 0.82051282 0.89473684 0.98787879
 0.64285714 0.57894737 0.54166667 0.51851852 0.44444444 0.64      ]"
5	3	0.8512518409425626	0.8534175624573933	0.8484503964231359	0.8512518409425626	"[0.8411215  0.82648402 0.90625    0.86885246 0.81673307 0.9787234
 0.8        0.58333333 0.5        0.58823529 0.42857143 0.8       ]"	"[0.86956522 0.87439614 0.82621083 0.83246073 0.84886128 0.98290598
 0.69565217 0.51851852 0.36842105 0.74074074 0.48979592 0.6       ]"	"[0.9        0.92820513 0.7591623  0.79899497 0.88362069 0.98712446
 0.61538462 0.46666667 0.29166667 1.         0.57142857 0.48      ]"
5	5	0.8632478632478633	0.8634209772862504	0.8607504884578807	0.8632478632478633	"[0.90425532 0.90082645 0.87719298 0.83898305 0.80838323 0.97058824
 0.90909091 0.8        0.625      0.75       0.52       0.75      ]"	"[0.89473684 0.90833333 0.90497738 0.79518072 0.83333333 0.98141264
 0.86956522 0.57142857 0.47619048 0.57142857 0.59090909 0.81818182]"	"[0.88541667 0.91596639 0.93457944 0.75572519 0.85987261 0.9924812
 0.83333333 0.44444444 0.38461538 0.46153846 0.68421053 0.9       ]"
5	10	0.8246913580246914	0.8106803457358734	0.8152190781165158	0.8246913580246914	"[0.91666667 0.79365079 0.77586207 0.87692308 0.80769231 0.91304348
 0.         0.         0.33333333 0.4        0.375      1.        ]"	"[0.87128713 0.81967213 0.78947368 0.85074627 0.85714286 0.95454545
 0.         0.         0.2        0.4        0.35294118 0.85714286]"	"[0.83018868 0.84745763 0.80357143 0.82608696 0.91304348 1.
 0.         0.         0.14285714 0.4        0.33333333 0.75      ]"
5	1	0.823572653761333	0.8220943255091726	0.8215466695891471	0.823572653761333	"[0.725      0.82310469 0.75583483 0.85993976 0.87212644 0.96148556
 0.6        0.79310345 0.578125   0.63043478 0.55319149 0.57894737]"	"[0.75586447 0.80140598 0.77818854 0.85993976 0.86344239 0.97625698
 0.56470588 0.61333333 0.57364341 0.55238095 0.43697479 0.58928571]"	"[0.78947368 0.78082192 0.80190476 0.85993976 0.85492958 0.99148936
 0.53333333 0.5        0.56923077 0.49152542 0.36111111 0.6       ]"
10	1	0.8647390345503553	0.8661455889121921	0.8626950396305518	0.8647390345503553	"[0.79969651 0.92606285 0.93459916 0.87034036 0.82345361 0.96546961
 0.56       0.77777778 0.55932203 0.69767442 0.57377049 0.72      ]"	"[0.87107438 0.89066667 0.88688689 0.83840749 0.86002692 0.97830651
 0.58947368 0.57534247 0.53225806 0.58823529 0.52631579 0.68571429]"	"[0.95644283 0.85787671 0.84380952 0.80873494 0.9        0.99148936
 0.62222222 0.45652174 0.50769231 0.50847458 0.48611111 0.65454545]"
10	2	0.8955882352941177	0.8961865970152038	0.8944037555915405	0.8955882352941177	"[0.94557823 0.95033113 0.90842491 0.88095238 0.84974093 0.96745562
 0.65384615 0.66666667 0.5        0.69565217 0.82142857 0.61290323]"	"[0.94880546 0.93637847 0.92022263 0.85478548 0.87817938 0.97904192
 0.62962963 0.58823529 0.55555556 0.64       0.63013699 0.67857143]"	"[0.95205479 0.92282958 0.93233083 0.83012821 0.90858726 0.99090909
 0.60714286 0.52631579 0.625      0.59259259 0.51111111 0.76      ]"
10	3	0.8969072164948454	0.8983250654543915	0.8947082549757809	0.8969072164948454	"[0.94923858 0.95652174 0.89473684 0.83980583 0.86206897 0.96666667
 0.69230769 1.         0.64285714 0.64285714 0.52       0.94117647]"	"[0.94206549 0.92875989 0.935      0.85432099 0.86206897 0.98097252
 0.69230769 0.63636364 0.47368421 0.75       0.56521739 0.76190476]"	"[0.935      0.9025641  0.97905759 0.86934673 0.86206897 0.99570815
 0.69230769 0.46666667 0.375      0.9        0.61904762 0.64      ]"
10	5	0.8778998778998779	0.8790614262831912	0.8748101799306265	0.8778998778998779	"[0.9009901  0.94017094 0.93636364 0.84615385 0.79885057 0.97080292
 0.77777778 1.         0.75       0.66666667 0.54545455 0.88888889]"	"[0.92385787 0.93220339 0.94930876 0.7983871  0.83987915 0.98518519
 0.66666667 0.5        0.57142857 0.64       0.58536585 0.84210526]"	"[0.94791667 0.92436975 0.96261682 0.75572519 0.88535032 1.
 0.58333333 0.33333333 0.46153846 0.61538462 0.63157895 0.8       ]"
10	10	0.8469135802469135	0.8426903948618053	0.8398085198727184	0.8469135802469135	"[0.98076923 0.76470588 0.86       0.81690141 0.80555556 0.94029851
 0.         1.         0.6        0.5        0.57142857 1.        ]"	"[0.97142857 0.81889764 0.81132075 0.82857143 0.82269504 0.96923077
 0.         0.33333333 0.5        0.44444444 0.5        1.        ]"	"[0.96226415 0.88135593 0.76785714 0.84057971 0.84057971 1.
 0.         0.2        0.42857143 0.4        0.44444444 1.        ]"
